Place 1;Place 2;Distance (km)
Cabonne Shire;Kyogle Council;15214.08
Cabonne Shire;Lachlan Shire;12750.38
Cabonne Shire;Lake Macquarie, City of;16254.69
Cabonne Shire;Lane Cove, Municipality of;16254.69
Cabonne Shire;Leeton Shire;12750.38
Cabonne Shire;Lismore, City of;16254.69
Cabonne Shire;Lithgow, City of;16254.69
Cabonne Shire;Liverpool, City of;16254.69
Cabonne Shire;Liverpool Plains Shire;12750.38
Cabonne Shire;Lockhart Shire;12750.38
Cabonne Shire;Lord Howe Island;985.22
Cabonne Shire;Maitland, City of;16254.69
Cabonne Shire;Mid-Coast Council;15214.08
Cabonne Shire;Mid-Western Regional;108.71
Cabonne Shire;Moree Plains Shire;447.87
Cabonne Shire;Mosman Council;242.06
Cabonne Shire;Murray River Council;15214.08
Cabonne Shire;Murrumbidgee Council;339.16
Cabonne Shire;Muswellbrook Shire;12750.38
Cabonne Shire;Nambucca Shire;468.22
Cabonne Shire;Narrandera Shire;12750.38
Cabonne Shire;Narrabri Shire;12750.38
Cabonne Shire;Narromine Shire;12750.38
Cabonne Shire;Newcastle, City of;282.59
Cabonne Shire;Northern Beaches Council;15214.08
Cabonne Shire;North Sydney Council;15214.08
Cabonne Shire;Oberon Shire;12750.38
Cabonne Shire;Orange, City of;16142.26
Cabonne Shire;Parkes Shire;12750.38
Cabonne Shire;Parramatta Council, City of;220.8
Cabonne Shire;Penrith, City of;16254.69
Cabonne Shire;Port Macquarie-Hastings Council;406.79
Cabonne Shire;Port Stephens Council;15214.08
Cabonne Shire;Queanbeyan-Palerang Regional Council;2298.12
Cabonne Shire;Randwick, City of;245.0
Cabonne Shire;Richmond Valley Council;15214.08
Cabonne Shire;Ryde, City of;230.1
Cabonne Shire;Singleton Council;15214.08
Cabonne Shire;Shellharbour, City of;250.9
Cabonne Shire;Shoalhaven, City of;16254.69
Cabonne Shire;Snowy Monaro Regional Council;364.11
Cabonne Shire;Snowy Valleys Council;15214.08
Cabonne Shire;Strathfield, Municipality of;230.11
Cabonne Shire;Sutherland Shire;231.6
Cabonne Shire;Sydney, City of;16254.69
Cabonne Shire;Tamworth Regional Council;15214.08
Cabonne Shire;Temora Shire;12750.38
Cabonne Shire;Tenterfield Shire;12750.38
Cabonne Shire;Tweed Shire;688.0
Cabonne Shire;Unincorporated Far West;15497.65
Cabonne Shire;Upper Hunter Shire;259.64
Cabonne Shire;Upper Lachlan Shire;147.14
Cabonne Shire;Uralla Shire;12750.38
Cabonne Shire;Wagga Wagga, City of;253.32
Cabonne Shire;Walcha Shire;12750.38
Cabonne Shire;Walgett Shire;12750.38
Cabonne Shire;Warren Shire;12750.38
Cabonne Shire;Warrumbungle Shire;198.88
Cabonne Shire;Waverley Council;15214.08
Cabonne Shire;Weddin Shire;12750.38
Cabonne Shire;Wentworth Shire;12750.38
Cabonne Shire;Willoughby, City of;237.56
Cabonne Shire;Wingecarribee Shire;12750.38
Cabonne Shire;Wollondilly Shire;12750.38
Cabonne Shire;Wollongong, City of;243.01
Cabonne Shire;Woollahra, Municipality of;16254.69
Cabonne Shire;Yass Valley Council;204.81
Camden Council;Campbelltown, City of;16162.53
Camden Council;Canada Bay, City of;15015.56
Camden Council;Canterbury-Bankstown, City of;7542.28
Camden Council;Carrathool Shire;11970.29
Camden Council;Central Coast Council;0.0
Camden Council;Central Darling Shire;15670.9
Camden Council;Cessnock, City of;14970.51
Camden Council;Clarence Valley Council;14756.36
Camden Council;Cobar Shire;11970.29
Camden Council;Coffs Harbour, City of;7542.28
Camden Council;Coolamon Shire;15393.69
Camden Council;Coonamble Shire;11970.29
Camden Council;Cootamundra-Gundagai Regional Council;15310.12
Camden Council;Cowra Shire;11970.29
Camden Council;Cumberland City Council;798.0
Camden Council;Dubbo Regional Council;15208.04
Camden Council;Dungog Shire;11970.29
Camden Council;Edward River Council;0.0
Camden Council;Eurobodalla Shire;15163.33
Camden Council;Fairfield, City of;7542.28
Camden Council;Federation Council;0.0
Camden Council;Forbes Shire;11970.29
Camden Council;Georges River Council;0.0
Camden Council;Gilgandra Shire;15185.89
Camden Council;Glen Innes Severn Council;14835.99
Camden Council;Goulburn Mulwaree Council;15156.63
Camden Council;Greater Hume Shire;15403.95
Camden Council;Griffith, City of;7542.28
Camden Council;Gunnedah Shire;11970.29
Camden Council;Gwydir Shire;11970.29
Camden Council;Hawkesbury, City of;7542.28
Camden Council;Hay Shire;11970.29
Camden Council;Hills Shire, The;15023.21
Camden Council;Hilltops Council;0.0
Camden Council;Hornsby Shire;11970.29
Camden Council;Hunter's Hill, Municipality of;941.32
Camden Council;Inner West Council;0.0
Camden Council;Inverell Shire;11970.29
Camden Council;Junee Shire;11970.29
Camden Council;Kempsey Shire;14815.95
Camden Council;Kiama, Municipality of;7542.28
Camden Council;Ku-ring-gai Council;0.0
Camden Council;Kyogle Council;0.0
Camden Council;Lachlan Shire;11970.29
Camden Council;Lake Macquarie, City of;7542.28
Camden Council;Lane Cove, Municipality of;7542.28
Camden Council;Leeton Shire;11970.29
Camden Council;Lismore, City of;7542.28
Camden Council;Lithgow, City of;7542.28
Camden Council;Liverpool, City of;7542.28
Camden Council;Liverpool Plains Shire;11970.29
Camden Council;Lockhart Shire;11970.29
Camden Council;Lord Howe Island;14230.54
Camden Council;Maitland, City of;7542.28
Camden Council;Mid-Coast Council;0.0
Camden Council;Mid-Western Regional;15113.35
Camden Council;Moree Plains Shire;15031.21
Camden Council;Mosman Council;15003.36
Camden Council;Murray River Council;0.0
Camden Council;Murrumbidgee Council;15532.86
Camden Council;Muswellbrook Shire;11970.29
Camden Council;Nambucca Shire;14781.56
Camden Council;Narrandera Shire;11970.29
Camden Council;Narrabri Shire;11970.29
Camden Council;Narromine Shire;11970.29
Camden Council;Newcastle, City of;14933.48
Camden Council;Northern Beaches Council;0.0
Camden Council;North Sydney Council;0.0
Camden Council;Oberon Shire;11970.29
Camden Council;Orange, City of;1353.76
Camden Council;Parkes Shire;11970.29
Camden Council;Parramatta Council, City of;15024.4
Camden Council;Penrith, City of;7542.28
Camden Council;Port Macquarie-Hastings Council;14822.6
Camden Council;Port Stephens Council;0.0
Camden Council;Queanbeyan-Palerang Regional Council;13502.98
Camden Council;Randwick, City of;15005.09
Camden Council;Richmond Valley Council;0.0
Camden Council;Ryde, City of;15014.67
Camden Council;Singleton Council;0.0
Camden Council;Shellharbour, City of;15053.15
Camden Council;Shoalhaven, City of;7542.28
Camden Council;Snowy Monaro Regional Council;15261.86
Camden Council;Snowy Valleys Council;0.0
Camden Council;Strathfield, Municipality of;15018.78
Camden Council;Sutherland Shire;15030.68
Camden Council;Sydney, City of;7542.28
Camden Council;Tamworth Regional Council;0.0
Camden Council;Temora Shire;11970.29
Camden Council;Tenterfield Shire;11970.29
Camden Council;Tweed Shire;14660.58
Camden Council;Unincorporated Far West;834.7
Camden Council;Upper Hunter Shire;14970.42
Camden Council;Upper Lachlan Shire;15180.34
Camden Council;Uralla Shire;11970.29
Camden Council;Wagga Wagga, City of;15378.39
Camden Council;Walcha Shire;11970.29
Camden Council;Walgett Shire;11970.29
Camden Council;Warren Shire;11970.29
Camden Council;Warrumbungle Shire;15109.75
Camden Council;Waverley Council;0.0
Camden Council;Weddin Shire;11970.29
Camden Council;Wentworth Shire;11970.29
Camden Council;Willoughby, City of;15006.69
Camden Council;Wingecarribee Shire;11970.29
Camden Council;Wollondilly Shire;11970.29
Camden Council;Wollongong, City of;15047.49
Camden Council;Woollahra, Municipality of;7542.28
Camden Council;Yass Valley Council;15243.1
Campbelltown, City of;Canada Bay, City of;1147.97
Campbelltown, City of;Canterbury-Bankstown, City of;15666.24
Campbelltown, City of;Carrathool Shire;11833.24
Campbelltown, City of;Central Coast Council;16162.53
Campbelltown, City of;Central Darling Shire;567.04
Campbelltown, City of;Cessnock, City of;1193.04
Campbelltown, City of;Clarence Valley Council;1442.61
Campbelltown, City of;Cobar Shire;11833.24
Campbelltown, City of;Coffs Harbour, City of;15666.24
Campbelltown, City of;Coolamon Shire;771.87
Campbelltown, City of;Coonamble Shire;11833.24
Campbelltown, City of;Cootamundra-Gundagai Regional Council;855.89
Campbelltown, City of;Cowra Shire;11833.24
Campbelltown, City of;Cumberland City Council;15867.93
Campbelltown, City of;Dubbo Regional Council;966.74
Campbelltown, City of;Dungog Shire;11833.24
Campbelltown, City of;Edward River Council;16162.53
Campbelltown, City of;Eurobodalla Shire;1026.89
Campbelltown, City of;Fairfield, City of;15666.24
Campbelltown, City of;Federation Council;16162.53
Campbelltown, City of;Forbes Shire;11833.24
Campbelltown, City of;Georges River Council;16162.53
Campbelltown, City of;Gilgandra Shire;999.68
Campbelltown, City of;Glen Innes Severn Council;1369.44
Campbelltown, City of;Goulburn Mulwaree Council;1014.1
Campbelltown, City of;Greater Hume Shire;779.22
Campbelltown, City of;Griffith, City of;15666.24
Campbelltown, City of;Gunnedah Shire;11833.24
Campbelltown, City of;Gwydir Shire;11833.24
Campbelltown, City of;Hawkesbury, City of;15666.24
Campbelltown, City of;Hay Shire;11833.24
Campbelltown, City of;Hills Shire, The;1139.89
Campbelltown, City of;Hilltops Council;16162.53
Campbelltown, City of;Hornsby Shire;11833.24
Campbelltown, City of;Hunter's Hill, Municipality of;16196.97
Campbelltown, City of;Inner West Council;16162.53
Campbelltown, City of;Inverell Shire;11833.24
Campbelltown, City of;Junee Shire;11833.24
Campbelltown, City of;Kempsey Shire;1362.86
Campbelltown, City of;Kiama, Municipality of;15666.24
Campbelltown, City of;Ku-ring-gai Council;16162.53
Campbelltown, City of;Kyogle Council;16162.53
Campbelltown, City of;Lachlan Shire;11833.24
Campbelltown, City of;Lake Macquarie, City of;15666.24
Campbelltown, City of;Lane Cove, Municipality of;15666.24
Campbelltown, City of;Leeton Shire;11833.24
Campbelltown, City of;Lismore, City of;15666.24
Campbelltown, City of;Lithgow, City of;15666.24
Campbelltown, City of;Liverpool, City of;15666.24
Campbelltown, City of;Liverpool Plains Shire;11833.24
Campbelltown, City of;Lockhart Shire;11833.24
Campbelltown, City of;Lord Howe Island;1932.04
Campbelltown, City of;Maitland, City of;15666.24
Campbelltown, City of;Mid-Coast Council;16162.53
Campbelltown, City of;Mid-Western Regional;1053.86
Campbelltown, City of;Moree Plains Shire;1212.38
Campbelltown, City of;Mosman Council;1160.1
Campbelltown, City of;Murray River Council;16162.53
Campbelltown, City of;Murrumbidgee Council;631.35
Campbelltown, City of;Muswellbrook Shire;11833.24
Campbelltown, City of;Nambucca Shire;1399.6
Campbelltown, City of;Narrandera Shire;11833.24
Campbelltown, City of;Narrabri Shire;11833.24
Campbelltown, City of;Narromine Shire;11833.24
Campbelltown, City of;Newcastle, City of;1229.47
Campbelltown, City of;Northern Beaches Council;16162.53
Campbelltown, City of;North Sydney Council;16162.53
Campbelltown, City of;Oberon Shire;11833.24
Campbelltown, City of;Orange, City of;17071.14
Campbelltown, City of;Parkes Shire;11833.24
Campbelltown, City of;Parramatta Council, City of;1138.87
Campbelltown, City of;Penrith, City of;15666.24
Campbelltown, City of;Port Macquarie-Hastings Council;1349.98
Campbelltown, City of;Port Stephens Council;16162.53
Campbelltown, City of;Queanbeyan-Palerang Regional Council;2978.48
Campbelltown, City of;Randwick, City of;1158.71
Campbelltown, City of;Richmond Valley Council;16162.53
Campbelltown, City of;Ryde, City of;1148.64
Campbelltown, City of;Singleton Council;16162.53
Campbelltown, City of;Shellharbour, City of;1115.19
Campbelltown, City of;Shoalhaven, City of;15666.24
Campbelltown, City of;Snowy Monaro Regional Council;939.84
Campbelltown, City of;Snowy Valleys Council;16162.53
Campbelltown, City of;Strathfield, Municipality of;1144.79
Campbelltown, City of;Sutherland Shire;1133.83
Campbelltown, City of;Sydney, City of;15666.24
Campbelltown, City of;Tamworth Regional Council;16162.53
Campbelltown, City of;Temora Shire;11833.24
Campbelltown, City of;Tenterfield Shire;11833.24
Campbelltown, City of;Tweed Shire;1564.54
Campbelltown, City of;Unincorporated Far West;16438.92
Campbelltown, City of;Upper Hunter Shire;1200.85
Campbelltown, City of;Upper Lachlan Shire;984.63
Campbelltown, City of;Uralla Shire;11833.24
Campbelltown, City of;Wagga Wagga, City of;792.61
Campbelltown, City of;Walcha Shire;11833.24
Campbelltown, City of;Walgett Shire;11833.24
Campbelltown, City of;Warren Shire;11833.24
Campbelltown, City of;Warrumbungle Shire;1074.83
Campbelltown, City of;Waverley Council;16162.53
Campbelltown, City of;Weddin Shire;11833.24
Campbelltown, City of;Wentworth Shire;11833.24
Campbelltown, City of;Willoughby, City of;1156.66
Campbelltown, City of;Wingecarribee Shire;11833.24
Campbelltown, City of;Wollondilly Shire;11833.24
Campbelltown, City of;Wollongong, City of;1119.46
Campbelltown, City of;Woollahra, Municipality of;15666.24
Campbelltown, City of;Yass Valley Council;927.75
Canada Bay, City of;Canterbury-Bankstown, City of;16470.25
Canada Bay, City of;Carrathool Shire;12969.03
Canada Bay, City of;Central Coast Council;15015.56
Canada Bay, City of;Central Darling Shire;750.31
Canada Bay, City of;Cessnock, City of;117.05
Canada Bay, City of;Clarence Valley Council;486.77
Canada Bay, City of;Cobar Shire;12969.03
Canada Bay, City of;Coffs Harbour, City of;16470.25
Canada Bay, City of;Coolamon Shire;378.93
Canada Bay, City of;Coonamble Shire;12969.03
Canada Bay, City of;Cootamundra-Gundagai Regional Council;296.5
Canada Bay, City of;Cowra Shire;12969.03
Canada Bay, City of;Cumberland City Council;14748.02
Canada Bay, City of;Dubbo Regional Council;294.64
Canada Bay, City of;Dungog Shire;12969.03
Canada Bay, City of;Edward River Council;15015.56
Canada Bay, City of;Eurobodalla Shire;257.6
Canada Bay, City of;Fairfield, City of;16470.25
Canada Bay, City of;Federation Council;15015.56
Canada Bay, City of;Forbes Shire;12969.03
Canada Bay, City of;Georges River Council;15015.56
Canada Bay, City of;Gilgandra Shire;336.26
Canada Bay, City of;Glen Innes Severn Council;467.57
Canada Bay, City of;Goulburn Mulwaree Council;167.66
Canada Bay, City of;Greater Hume Shire;415.27
Canada Bay, City of;Griffith, City of;16470.25
Canada Bay, City of;Gunnedah Shire;12969.03
Canada Bay, City of;Gwydir Shire;12969.03
Canada Bay, City of;Hawkesbury, City of;16470.25
Canada Bay, City of;Hay Shire;12969.03
Canada Bay, City of;Hills Shire, The;15.31
Canada Bay, City of;Hilltops Council;15015.56
Canada Bay, City of;Hornsby Shire;12969.03
Canada Bay, City of;Hunter's Hill, Municipality of;15092.22
Canada Bay, City of;Inner West Council;15015.56
Canada Bay, City of;Inverell Shire;12969.03
Canada Bay, City of;Junee Shire;12969.03
Canada Bay, City of;Kempsey Shire;349.84
Canada Bay, City of;Kiama, Municipality of;16470.25
Canada Bay, City of;Ku-ring-gai Council;15015.56
Canada Bay, City of;Kyogle Council;15015.56
Canada Bay, City of;Lachlan Shire;12969.03
Canada Bay, City of;Lake Macquarie, City of;16470.25
Canada Bay, City of;Lane Cove, Municipality of;16470.25
Canada Bay, City of;Leeton Shire;12969.03
Canada Bay, City of;Lismore, City of;16470.25
Canada Bay, City of;Lithgow, City of;16470.25
Canada Bay, City of;Liverpool, City of;16470.25
Canada Bay, City of;Liverpool Plains Shire;12969.03
Canada Bay, City of;Lockhart Shire;12969.03
Canada Bay, City of;Lord Howe Island;788.25
Canada Bay, City of;Maitland, City of;16470.25
Canada Bay, City of;Mid-Coast Council;15015.56
Canada Bay, City of;Mid-Western Regional;190.19
Canada Bay, City of;Moree Plains Shire;537.98
Canada Bay, City of;Mosman Council;12.31
Canada Bay, City of;Murray River Council;15015.56
Canada Bay, City of;Murrumbidgee Council;517.3
Canada Bay, City of;Muswellbrook Shire;12969.03
Canada Bay, City of;Nambucca Shire;385.93
Canada Bay, City of;Narrandera Shire;12969.03
Canada Bay, City of;Narrabri Shire;12969.03
Canada Bay, City of;Narromine Shire;12969.03
Canada Bay, City of;Newcastle, City of;121.29
Canada Bay, City of;Northern Beaches Council;15015.56
Canada Bay, City of;North Sydney Council;15015.56
Canada Bay, City of;Oberon Shire;12969.03
Canada Bay, City of;Orange, City of;15977.94
Canada Bay, City of;Parkes Shire;12969.03
Canada Bay, City of;Parramatta Council, City of;11.67
Canada Bay, City of;Penrith, City of;16470.25
Canada Bay, City of;Port Macquarie-Hastings Council;305.38
Canada Bay, City of;Port Stephens Council;15015.56
Canada Bay, City of;Queanbeyan-Palerang Regional Council;2076.3
Canada Bay, City of;Randwick, City of;12.74
Canada Bay, City of;Richmond Valley Council;15015.56
Canada Bay, City of;Ryde, City of;5.96
Canada Bay, City of;Singleton Council;15015.56
Canada Bay, City of;Shellharbour, City of;82.49
Canada Bay, City of;Shoalhaven, City of;16470.25
Canada Bay, City of;Snowy Monaro Regional Council;348.66
Canada Bay, City of;Snowy Valleys Council;15015.56
Canada Bay, City of;Strathfield, Municipality of;3.42
Canada Bay, City of;Sutherland Shire;26.13
Canada Bay, City of;Sydney, City of;16470.25
Canada Bay, City of;Tamworth Regional Council;15015.56
Canada Bay, City of;Temora Shire;12969.03
Canada Bay, City of;Tenterfield Shire;12969.03
Canada Bay, City of;Tweed Shire;646.97
Canada Bay, City of;Unincorporated Far West;15324.04
Canada Bay, City of;Upper Hunter Shire;218.81
Canada Bay, City of;Upper Lachlan Shire;166.6
Canada Bay, City of;Uralla Shire;12969.03
Canada Bay, City of;Wagga Wagga, City of;370.92
Canada Bay, City of;Walcha Shire;12969.03
Canada Bay, City of;Walgett Shire;12969.03
Canada Bay, City of;Warren Shire;12969.03
Canada Bay, City of;Warrumbungle Shire;308.41
Canada Bay, City of;Waverley Council;15015.56
Canada Bay, City of;Weddin Shire;12969.03
Canada Bay, City of;Wentworth Shire;12969.03
Canada Bay, City of;Willoughby, City of;10.14
Canada Bay, City of;Wingecarribee Shire;12969.03
Canada Bay, City of;Wollondilly Shire;12969.03
Canada Bay, City of;Wollongong, City of;65.81
Canada Bay, City of;Woollahra, Municipality of;16470.25
Canada Bay, City of;Yass Valley Council;243.16
Canterbury-Bankstown, City of;Carrathool Shire;4800.14
Canterbury-Bankstown, City of;Central Coast Council;7542.28
Canterbury-Bankstown, City of;Central Darling Shire;15783.58
Canterbury-Bankstown, City of;Cessnock, City of;16408.62
Canterbury-Bankstown, City of;Clarence Valley Council;16257.19
Canterbury-Bankstown, City of;Cobar Shire;4800.14
Canterbury-Bankstown, City of;Coffs Harbour, City of;0.0
Canterbury-Bankstown, City of;Coolamon Shire;16250.92
Canterbury-Bankstown, City of;Coonamble Shire;4800.14
Canterbury-Bankstown, City of;Cootamundra-Gundagai Regional Council;16312.42
Canterbury-Bankstown, City of;Cowra Shire;4800.14
Canterbury-Bankstown, City of;Cumberland City Council;7411.59
Canterbury-Bankstown, City of;Dubbo Regional Council;16176.66
Canterbury-Bankstown, City of;Dungog Shire;4800.14
Canterbury-Bankstown, City of;Edward River Council;7542.28
Canterbury-Bankstown, City of;Eurobodalla Shire;16538.83
Canterbury-Bankstown, City of;Fairfield, City of;0.0
Canterbury-Bankstown, City of;Federation Council;7542.28
Canterbury-Bankstown, City of;Forbes Shire;4800.14
Canterbury-Bankstown, City of;Georges River Council;7542.28
Canterbury-Bankstown, City of;Gilgandra Shire;16135.19
Canterbury-Bankstown, City of;Glen Innes Severn Council;16200.48
Canterbury-Bankstown, City of;Goulburn Mulwaree Council;16453.62
Canterbury-Bankstown, City of;Greater Hume Shire;16331.36
Canterbury-Bankstown, City of;Griffith, City of;0.0
Canterbury-Bankstown, City of;Gunnedah Shire;4800.14
Canterbury-Bankstown, City of;Gwydir Shire;4800.14
Canterbury-Bankstown, City of;Hawkesbury, City of;0.0
Canterbury-Bankstown, City of;Hay Shire;4800.14
Canterbury-Bankstown, City of;Hills Shire, The;16455.05
Canterbury-Bankstown, City of;Hilltops Council;7542.28
Canterbury-Bankstown, City of;Hornsby Shire;4800.14
Canterbury-Bankstown, City of;Hunter's Hill, Municipality of;7008.02
Canterbury-Bankstown, City of;Inner West Council;7542.28
Canterbury-Bankstown, City of;Inverell Shire;4800.14
Canterbury-Bankstown, City of;Junee Shire;4800.14
Canterbury-Bankstown, City of;Kempsey Shire;16339.14
Canterbury-Bankstown, City of;Kiama, Municipality of;0.0
Canterbury-Bankstown, City of;Ku-ring-gai Council;7542.28
Canterbury-Bankstown, City of;Kyogle Council;7542.28
Canterbury-Bankstown, City of;Lachlan Shire;4800.14
Canterbury-Bankstown, City of;Lake Macquarie, City of;0.0
Canterbury-Bankstown, City of;Lane Cove, Municipality of;0.0
Canterbury-Bankstown, City of;Leeton Shire;4800.14
Canterbury-Bankstown, City of;Lismore, City of;0.0
Canterbury-Bankstown, City of;Lithgow, City of;0.0
Canterbury-Bankstown, City of;Liverpool, City of;0.0
Canterbury-Bankstown, City of;Liverpool Plains Shire;4800.14
Canterbury-Bankstown, City of;Lockhart Shire;4800.14
Canterbury-Bankstown, City of;Lord Howe Island;16815.65
Canterbury-Bankstown, City of;Maitland, City of;0.0
Canterbury-Bankstown, City of;Mid-Coast Council;7542.28
Canterbury-Bankstown, City of;Mid-Western Regional;16280.78
Canterbury-Bankstown, City of;Moree Plains Shire;16008.07
Canterbury-Bankstown, City of;Mosman Council;16476.24
Canterbury-Bankstown, City of;Murray River Council;7542.28
Canterbury-Bankstown, City of;Murrumbidgee Council;16140.92
Canterbury-Bankstown, City of;Muswellbrook Shire;4800.14
Canterbury-Bankstown, City of;Nambucca Shire;16339.29
Canterbury-Bankstown, City of;Narrandera Shire;4800.14
Canterbury-Bankstown, City of;Narrabri Shire;4800.14
Canterbury-Bankstown, City of;Narromine Shire;4800.14
Canterbury-Bankstown, City of;Newcastle, City of;16445.28
Canterbury-Bankstown, City of;Northern Beaches Council;7542.28
Canterbury-Bankstown, City of;North Sydney Council;7542.28
Canterbury-Bankstown, City of;Oberon Shire;4800.14
Canterbury-Bankstown, City of;Orange, City of;6225.91
Canterbury-Bankstown, City of;Parkes Shire;4800.14
Canterbury-Bankstown, City of;Parramatta Council, City of;16458.86
Canterbury-Bankstown, City of;Penrith, City of;0.0
Canterbury-Bankstown, City of;Port Macquarie-Hastings Council;16380.12
Canterbury-Bankstown, City of;Port Stephens Council;7542.28
Canterbury-Bankstown, City of;Queanbeyan-Palerang Regional Council;18533.09
Canterbury-Bankstown, City of;Randwick, City of;16482.34
Canterbury-Bankstown, City of;Richmond Valley Council;7542.28
Canterbury-Bankstown, City of;Ryde, City of;16466.06
Canterbury-Bankstown, City of;Singleton Council;7542.28
Canterbury-Bankstown, City of;Shellharbour, City of;16505.42
Canterbury-Bankstown, City of;Shoalhaven, City of;0.0
Canterbury-Bankstown, City of;Snowy Monaro Regional Council;16498.29
Canterbury-Bankstown, City of;Snowy Valleys Council;7542.28
Canterbury-Bankstown, City of;Strathfield, Municipality of;16469.22
Canterbury-Bankstown, City of;Sutherland Shire;16478.15
Canterbury-Bankstown, City of;Sydney, City of;0.0
Canterbury-Bankstown, City of;Tamworth Regional Council;7542.28
Canterbury-Bankstown, City of;Temora Shire;4800.14
Canterbury-Bankstown, City of;Tenterfield Shire;4800.14
Canterbury-Bankstown, City of;Tweed Shire;16182.75
Canterbury-Bankstown, City of;Unincorporated Far West;6889.76
Canterbury-Bankstown, City of;Upper Hunter Shire;16319.91
Canterbury-Bankstown, City of;Upper Lachlan Shire;16388.36
Canterbury-Bankstown, City of;Uralla Shire;4800.14
Canterbury-Bankstown, City of;Wagga Wagga, City of;16299.0
Canterbury-Bankstown, City of;Walcha Shire;4800.14
Canterbury-Bankstown, City of;Walgett Shire;4800.14
Canterbury-Bankstown, City of;Warren Shire;4800.14
Canterbury-Bankstown, City of;Warrumbungle Shire;16175.37
Canterbury-Bankstown, City of;Waverley Council;7542.28
Canterbury-Bankstown, City of;Weddin Shire;4800.14
Canterbury-Bankstown, City of;Wentworth Shire;4800.14
Canterbury-Bankstown, City of;Willoughby, City of;16471.62
Canterbury-Bankstown, City of;Wingecarribee Shire;4800.14
Canterbury-Bankstown, City of;Wollondilly Shire;4800.14
Canterbury-Bankstown, City of;Wollongong, City of;16496.48
Canterbury-Bankstown, City of;Woollahra, Municipality of;0.0
Canterbury-Bankstown, City of;Yass Valley Council;16394.35
Carrathool Shire;Central Coast Council;11970.29
Carrathool Shire;Central Darling Shire;12248.28
Carrathool Shire;Cessnock, City of;12991.5
Carrathool Shire;Clarence Valley Council;13123.28
Carrathool Shire;Cobar Shire;0.0
Carrathool Shire;Coffs Harbour, City of;4800.14
Carrathool Shire;Coolamon Shire;12601.73
Carrathool Shire;Coonamble Shire;0.0
Carrathool Shire;Cootamundra-Gundagai Regional Council;12685.56
Carrathool Shire;Cowra Shire;0.0
Carrathool Shire;Cumberland City Council;12039.55
Carrathool Shire;Dubbo Regional Council;12733.64
Carrathool Shire;Dungog Shire;0.0
Carrathool Shire;Edward River Council;11970.29
Carrathool Shire;Eurobodalla Shire;12857.49
Carrathool Shire;Fairfield, City of;4800.14
Carrathool Shire;Federation Council;11970.29
Carrathool Shire;Forbes Shire;0.0
Carrathool Shire;Georges River Council;11970.29
Carrathool Shire;Gilgandra Shire;12739.17
Carrathool Shire;Glen Innes Severn Council;13040.52
Carrathool Shire;Goulburn Mulwaree Council;12846.15
Carrathool Shire;Greater Hume Shire;12610.9
Carrathool Shire;Griffith, City of;4800.14
Carrathool Shire;Gunnedah Shire;0.0
Carrathool Shire;Gwydir Shire;0.0
Carrathool Shire;Hawkesbury, City of;4800.14
Carrathool Shire;Hay Shire;0.0
Carrathool Shire;Hills Shire, The;12959.01
Carrathool Shire;Hilltops Council;11970.29
Carrathool Shire;Hornsby Shire;0.0
Carrathool Shire;Hunter's Hill, Municipality of;11644.07
Carrathool Shire;Inner West Council;11970.29
Carrathool Shire;Inverell Shire;0.0
Carrathool Shire;Junee Shire;0.0
Carrathool Shire;Kempsey Shire;13099.81
Carrathool Shire;Kiama, Municipality of;4800.14
Carrathool Shire;Ku-ring-gai Council;11970.29
Carrathool Shire;Kyogle Council;11970.29
Carrathool Shire;Lachlan Shire;0.0
Carrathool Shire;Lake Macquarie, City of;4800.14
Carrathool Shire;Lane Cove, Municipality of;4800.14
Carrathool Shire;Leeton Shire;0.0
Carrathool Shire;Lismore, City of;4800.14
Carrathool Shire;Lithgow, City of;4800.14
Carrathool Shire;Liverpool, City of;4800.14
Carrathool Shire;Liverpool Plains Shire;0.0
Carrathool Shire;Lockhart Shire;0.0
Carrathool Shire;Lord Howe Island;13723.33
Carrathool Shire;Maitland, City of;4800.14
Carrathool Shire;Mid-Coast Council;11970.29
Carrathool Shire;Mid-Western Regional;12839.76
Carrathool Shire;Moree Plains Shire;12820.17
Carrathool Shire;Mosman Council;12980.71
Carrathool Shire;Murray River Council;11970.29
Carrathool Shire;Murrumbidgee Council;12460.67
Carrathool Shire;Muswellbrook Shire;0.0
Carrathool Shire;Nambucca Shire;13128.08
Carrathool Shire;Narrandera Shire;0.0
Carrathool Shire;Narrabri Shire;0.0
Carrathool Shire;Narromine Shire;0.0
Carrathool Shire;Newcastle, City of;13031.73
Carrathool Shire;Northern Beaches Council;11970.29
Carrathool Shire;North Sydney Council;11970.29
Carrathool Shire;Oberon Shire;0.0
Carrathool Shire;Orange, City of;10787.22
Carrathool Shire;Parkes Shire;0.0
Carrathool Shire;Parramatta Council, City of;12958.91
Carrathool Shire;Penrith, City of;4800.14
Carrathool Shire;Port Macquarie-Hastings Council;13106.19
Carrathool Shire;Port Stephens Council;11970.29
Carrathool Shire;Queanbeyan-Palerang Regional Council;14515.99
Carrathool Shire;Randwick, City of;12980.67
Carrathool Shire;Richmond Valley Council;11970.29
Carrathool Shire;Ryde, City of;12968.79
Carrathool Shire;Singleton Council;11970.29
Carrathool Shire;Shellharbour, City of;12945.2
Carrathool Shire;Shoalhaven, City of;4800.14
Carrathool Shire;Snowy Monaro Regional Council;12764.7
