Place 1;Place 2;Distance (km)
Armidale Regional Council;Bathurst Region;15145.03
Armidale Regional Council;Bayside Council;1375.66
Armidale Regional Council;Bega Valley Shire;15192.09
Armidale Regional Council;Bellingen Shire;11970.29
Armidale Regional Council;Berrigan Shire;15529.9
Armidale Regional Council;Blacktown City Council;0.0
Armidale Regional Council;Bland Shire;11970.29
Armidale Regional Council;Blayney Shire;11970.29
Armidale Regional Council;Blue Mountains, City of;15075.85
Armidale Regional Council;Bogan Shire;11970.29
Armidale Regional Council;Bourke Shire;11970.29
Armidale Regional Council;Brewarrina Shire;15299.96
Armidale Regional Council;Broken Hill, City of;7542.28
Armidale Regional Council;Burwood Council;15017.09
Armidale Regional Council;Byron Shire;11970.29
Armidale Regional Council;Cabonne Shire;15214.08
Armidale Regional Council;Camden Council;0.0
Armidale Regional Council;Campbelltown, City of;16162.53
Armidale Regional Council;Canada Bay, City of;15015.56
Armidale Regional Council;Canterbury-Bankstown, City of;7542.28
Armidale Regional Council;Carrathool Shire;11970.29
Armidale Regional Council;Central Coast Council;0.0
Armidale Regional Council;Central Darling Shire;15670.9
Armidale Regional Council;Cessnock, City of;14970.51
Armidale Regional Council;Clarence Valley Council;14756.36
Armidale Regional Council;Cobar Shire;11970.29
Armidale Regional Council;Coffs Harbour, City of;7542.28
Armidale Regional Council;Coolamon Shire;15393.69
Armidale Regional Council;Coonamble Shire;11970.29
Armidale Regional Council;Cootamundra-Gundagai Regional Council;15310.12
Armidale Regional Council;Cowra Shire;11970.29
Armidale Regional Council;Cumberland City Council;798.0
Armidale Regional Council;Dubbo Regional Council;15208.04
Armidale Regional Council;Dungog Shire;11970.29
Armidale Regional Council;Edward River Council;0.0
Armidale Regional Council;Eurobodalla Shire;15163.33
Armidale Regional Council;Fairfield, City of;7542.28
Armidale Regional Council;Federation Council;0.0
Armidale Regional Council;Forbes Shire;11970.29
Armidale Regional Council;Georges River Council;0.0
Armidale Regional Council;Gilgandra Shire;15185.89
Armidale Regional Council;Glen Innes Severn Council;14835.99
Armidale Regional Council;Goulburn Mulwaree Council;15156.63
Armidale Regional Council;Greater Hume Shire;15403.95
Armidale Regional Council;Griffith, City of;7542.28
Armidale Regional Council;Gunnedah Shire;11970.29
Armidale Regional Council;Gwydir Shire;11970.29
Armidale Regional Council;Hawkesbury, City of;7542.28
Armidale Regional Council;Hay Shire;11970.29
Armidale Regional Council;Hills Shire, The;15023.21
Armidale Regional Council;Hilltops Council;0.0
Armidale Regional Council;Hornsby Shire;11970.29
Armidale Regional Council;Hunter's Hill, Municipality of;941.32
Armidale Regional Council;Inner West Council;0.0
Armidale Regional Council;Inverell Shire;11970.29
Armidale Regional Council;Junee Shire;11970.29
Armidale Regional Council;Kempsey Shire;14815.95
Armidale Regional Council;Kiama, Municipality of;7542.28
Armidale Regional Council;Ku-ring-gai Council;0.0
Armidale Regional Council;Kyogle Council;0.0
Armidale Regional Council;Lachlan Shire;11970.29
Armidale Regional Council;Lake Macquarie, City of;7542.28
Armidale Regional Council;Lane Cove, Municipality of;7542.28
Armidale Regional Council;Leeton Shire;11970.29
Armidale Regional Council;Lismore, City of;7542.28
Armidale Regional Council;Lithgow, City of;7542.28
Armidale Regional Council;Liverpool, City of;7542.28
Armidale Regional Council;Liverpool Plains Shire;11970.29
Armidale Regional Council;Lockhart Shire;11970.29
Armidale Regional Council;Lord Howe Island;14230.54
Armidale Regional Council;Maitland, City of;7542.28
Armidale Regional Council;Mid-Coast Council;0.0
Armidale Regional Council;Mid-Western Regional;15113.35
Armidale Regional Council;Moree Plains Shire;15031.21
Armidale Regional Council;Mosman Council;15003.36
Armidale Regional Council;Murray River Council;0.0
Armidale Regional Council;Murrumbidgee Council;15532.86
Armidale Regional Council;Muswellbrook Shire;11970.29
Armidale Regional Council;Nambucca Shire;14781.56
Armidale Regional Council;Narrandera Shire;11970.29
Armidale Regional Council;Narrabri Shire;11970.29
Armidale Regional Council;Narromine Shire;11970.29
Armidale Regional Council;Newcastle, City of;14933.48
Armidale Regional Council;Northern Beaches Council;0.0
Armidale Regional Council;North Sydney Council;0.0
Armidale Regional Council;Oberon Shire;11970.29
Armidale Regional Council;Orange, City of;1353.76
Armidale Regional Council;Parkes Shire;11970.29
Armidale Regional Council;Parramatta Council, City of;15024.4
Armidale Regional Council;Penrith, City of;7542.28
Armidale Regional Council;Port Macquarie-Hastings Council;14822.6
Armidale Regional Council;Port Stephens Council;0.0
Armidale Regional Council;Queanbeyan-Palerang Regional Council;13502.98
Armidale Regional Council;Randwick, City of;15005.09
Armidale Regional Council;Richmond Valley Council;0.0
Armidale Regional Council;Ryde, City of;15014.67
Armidale Regional Council;Singleton Council;0.0
Armidale Regional Council;Shellharbour, City of;15053.15
Armidale Regional Council;Shoalhaven, City of;7542.28
Armidale Regional Council;Snowy Monaro Regional Council;15261.86
Armidale Regional Council;Snowy Valleys Council;0.0
Armidale Regional Council;Strathfield, Municipality of;15018.78
Armidale Regional Council;Sutherland Shire;15030.68
Armidale Regional Council;Sydney, City of;7542.28
Armidale Regional Council;Tamworth Regional Council;0.0
Armidale Regional Council;Temora Shire;11970.29
Armidale Regional Council;Tenterfield Shire;11970.29
Armidale Regional Council;Tweed Shire;14660.58
Armidale Regional Council;Unincorporated Far West;834.7
Armidale Regional Council;Upper Hunter Shire;14970.42
Armidale Regional Council;Upper Lachlan Shire;15180.34
Armidale Regional Council;Uralla Shire;11970.29
Armidale Regional Council;Wagga Wagga, City of;15378.39
Armidale Regional Council;Walcha Shire;11970.29
Armidale Regional Council;Walgett Shire;11970.29
Armidale Regional Council;Warren Shire;11970.29
Armidale Regional Council;Warrumbungle Shire;15109.75
Armidale Regional Council;Waverley Council;0.0
Armidale Regional Council;Weddin Shire;11970.29
Armidale Regional Council;Wentworth Shire;11970.29
Armidale Regional Council;Willoughby, City of;15006.69
Armidale Regional Council;Wingecarribee Shire;11970.29
Armidale Regional Council;Wollondilly Shire;11970.29
Armidale Regional Council;Wollongong, City of;15047.49
Armidale Regional Council;Woollahra, Municipality of;7542.28
Armidale Regional Council;Yass Valley Council;15243.1
Ballina Shire;Balranald Shire;12283.41
Ballina Shire;Bathurst Region;12824.16
Ballina Shire;Bayside Council;10753.1
Ballina Shire;Bega Valley Shire;12838.6
Ballina Shire;Bellingen Shire;0.0
Ballina Shire;Berrigan Shire;12484.06
Ballina Shire;Blacktown City Council;11970.29
Ballina Shire;Bland Shire;0.0
Ballina Shire;Blayney Shire;0.0
Ballina Shire;Blue Mountains, City of;12903.67
Ballina Shire;Bogan Shire;0.0
Ballina Shire;Bourke Shire;0.0
Ballina Shire;Brewarrina Shire;12566.16
Ballina Shire;Broken Hill, City of;4800.14
Ballina Shire;Burwood Council;12967.85
Ballina Shire;Byron Shire;0.0
Ballina Shire;Cabonne Shire;12750.38
Ballina Shire;Camden Council;11970.29
Ballina Shire;Campbelltown, City of;11833.24
Ballina Shire;Canada Bay, City of;12969.03
Ballina Shire;Canterbury-Bankstown, City of;4800.14
Ballina Shire;Carrathool Shire;0.0
Ballina Shire;Central Coast Council;11970.29
Ballina Shire;Central Darling Shire;12248.28
Ballina Shire;Cessnock, City of;12991.5
Ballina Shire;Clarence Valley Council;13123.28
Ballina Shire;Cobar Shire;0.0
Ballina Shire;Coffs Harbour, City of;4800.14
Ballina Shire;Coolamon Shire;12601.73
Ballina Shire;Coonamble Shire;0.0
Ballina Shire;Cootamundra-Gundagai Regional Council;12685.56
Ballina Shire;Cowra Shire;0.0
Ballina Shire;Cumberland City Council;12039.55
Ballina Shire;Dubbo Regional Council;12733.64
Ballina Shire;Dungog Shire;0.0
Ballina Shire;Edward River Council;11970.29
Ballina Shire;Eurobodalla Shire;12857.49
Ballina Shire;Fairfield, City of;4800.14
Ballina Shire;Federation Council;11970.29
Ballina Shire;Forbes Shire;0.0
Ballina Shire;Georges River Council;11970.29
Ballina Shire;Gilgandra Shire;12739.17
Ballina Shire;Glen Innes Severn Council;13040.52
Ballina Shire;Goulburn Mulwaree Council;12846.15
Ballina Shire;Greater Hume Shire;12610.9
Ballina Shire;Griffith, City of;4800.14
Ballina Shire;Gunnedah Shire;0.0
Ballina Shire;Gwydir Shire;0.0
Ballina Shire;Hawkesbury, City of;4800.14
Ballina Shire;Hay Shire;0.0
Ballina Shire;Hills Shire, The;12959.01
Ballina Shire;Hilltops Council;11970.29
Ballina Shire;Hornsby Shire;0.0
Ballina Shire;Hunter's Hill, Municipality of;11644.07
Ballina Shire;Inner West Council;11970.29
Ballina Shire;Inverell Shire;0.0
Ballina Shire;Junee Shire;0.0
Ballina Shire;Kempsey Shire;13099.81
Ballina Shire;Kiama, Municipality of;4800.14
Ballina Shire;Ku-ring-gai Council;11970.29
Ballina Shire;Kyogle Council;11970.29
Ballina Shire;Lachlan Shire;0.0
Ballina Shire;Lake Macquarie, City of;4800.14
Ballina Shire;Lane Cove, Municipality of;4800.14
Ballina Shire;Leeton Shire;0.0
Ballina Shire;Lismore, City of;4800.14
Ballina Shire;Lithgow, City of;4800.14
Ballina Shire;Liverpool, City of;4800.14
Ballina Shire;Liverpool Plains Shire;0.0
Ballina Shire;Lockhart Shire;0.0
Ballina Shire;Lord Howe Island;13723.33
Ballina Shire;Maitland, City of;4800.14
Ballina Shire;Mid-Coast Council;11970.29
Ballina Shire;Mid-Western Regional;12839.76
Ballina Shire;Moree Plains Shire;12820.17
Ballina Shire;Mosman Council;12980.71
Ballina Shire;Murray River Council;11970.29
Ballina Shire;Murrumbidgee Council;12460.67
Ballina Shire;Muswellbrook Shire;0.0
Ballina Shire;Nambucca Shire;13128.08
Ballina Shire;Narrandera Shire;0.0
Ballina Shire;Narrabri Shire;0.0
Ballina Shire;Narromine Shire;0.0
Ballina Shire;Newcastle, City of;13031.73
Ballina Shire;Northern Beaches Council;11970.29
Ballina Shire;North Sydney Council;11970.29
Ballina Shire;Oberon Shire;0.0
Ballina Shire;Orange, City of;10787.22
Ballina Shire;Parkes Shire;0.0
Ballina Shire;Parramatta Council, City of;12958.91
Ballina Shire;Penrith, City of;4800.14
Ballina Shire;Port Macquarie-Hastings Council;13106.19
Ballina Shire;Port Stephens Council;11970.29
Ballina Shire;Queanbeyan-Palerang Regional Council;14515.99
Ballina Shire;Randwick, City of;12980.67
Ballina Shire;Richmond Valley Council;11970.29
Ballina Shire;Ryde, City of;12968.79
Ballina Shire;Singleton Council;11970.29
Ballina Shire;Shellharbour, City of;12945.2
Ballina Shire;Shoalhaven, City of;4800.14
Ballina Shire;Snowy Monaro Regional Council;12764.7
Ballina Shire;Snowy Valleys Council;11970.29
Ballina Shire;Strathfield, Municipality of;12966.08
Ballina Shire;Sutherland Shire;12958.13
Ballina Shire;Sydney, City of;4800.14
Ballina Shire;Tamworth Regional Council;11970.29
Ballina Shire;Temora Shire;0.0
Ballina Shire;Tenterfield Shire;0.0
Ballina Shire;Tweed Shire;13176.16
Ballina Shire;Unincorporated Far West;11475.95
Ballina Shire;Upper Hunter Shire;12967.61
Ballina Shire;Upper Lachlan Shire;12811.59
Ballina Shire;Uralla Shire;0.0
Ballina Shire;Wagga Wagga, City of;12625.5
Ballina Shire;Walcha Shire;0.0
Ballina Shire;Walgett Shire;0.0
Ballina Shire;Warren Shire;0.0
Ballina Shire;Warrumbungle Shire;12812.37
Ballina Shire;Waverley Council;11970.29
Ballina Shire;Weddin Shire;0.0
Ballina Shire;Wentworth Shire;0.0
Ballina Shire;Willoughby, City of;12976.82
Ballina Shire;Wingecarribee Shire;0.0
Ballina Shire;Wollondilly Shire;0.0
Ballina Shire;Wollongong, City of;12948.04
Ballina Shire;Woollahra, Municipality of;4800.14
Ballina Shire;Yass Valley Council;12760.18
Balranald Shire;Bathurst Region;546.58
Balranald Shire;Bayside Council;16639.46
Balranald Shire;Bega Valley Shire;632.83
Balranald Shire;Bellingen Shire;12283.41
Balranald Shire;Berrigan Shire;286.87
Balranald Shire;Blacktown City Council;15690.55
Balranald Shire;Bland Shire;12283.41
Balranald Shire;Blayney Shire;12283.41
Balranald Shire;Blue Mountains, City of;621.25
Balranald Shire;Bogan Shire;12283.41
Balranald Shire;Bourke Shire;12283.41
Balranald Shire;Brewarrina Shire;539.14
Balranald Shire;Broken Hill, City of;15949.15
Balranald Shire;Burwood Council;684.55
Balranald Shire;Byron Shire;12283.41
Balranald Shire;Cabonne Shire;476.49
Balranald Shire;Camden Council;15690.55
Balranald Shire;Campbelltown, City of;476.25
Balranald Shire;Canada Bay, City of;685.77
Balranald Shire;Canterbury-Bankstown, City of;15949.15
Balranald Shire;Carrathool Shire;12283.41
Balranald Shire;Central Coast Council;15690.55
Balranald Shire;Central Darling Shire;230.68
Balranald Shire;Cessnock, City of;720.31
Balranald Shire;Clarence Valley Council;971.16
Balranald Shire;Cobar Shire;12283.41
Balranald Shire;Coffs Harbour, City of;15949.15
Balranald Shire;Coolamon Shire;328.41
Balranald Shire;Coonamble Shire;12283.41
Balranald Shire;Cootamundra-Gundagai Regional Council;408.99
Balranald Shire;Cowra Shire;12283.41
Balranald Shire;Cumberland City Council;15392.4
Balranald Shire;Dubbo Regional Council;491.04
Balranald Shire;Dungog Shire;12283.41
Balranald Shire;Edward River Council;15690.55
Balranald Shire;Eurobodalla Shire;616.02
Balranald Shire;Fairfield, City of;15949.15
Balranald Shire;Federation Council;15690.55
Balranald Shire;Forbes Shire;12283.41
Balranald Shire;Georges River Council;15690.55
Balranald Shire;Gilgandra Shire;527.62
Balranald Shire;Glen Innes Severn Council;900.73
Balranald Shire;Goulburn Mulwaree Council;571.98
Balranald Shire;Greater Hume Shire;384.06
Balranald Shire;Griffith, City of;15949.15
Balranald Shire;Gunnedah Shire;12283.41
Balranald Shire;Gwydir Shire;12283.41
Balranald Shire;Hawkesbury, City of;15949.15
Balranald Shire;Hay Shire;12283.41
Balranald Shire;Hills Shire, The;676.11
Balranald Shire;Hilltops Council;15690.55
Balranald Shire;Hornsby Shire;12283.41
Balranald Shire;Hunter's Hill, Municipality of;15723.83
Balranald Shire;Inner West Council;15690.55
Balranald Shire;Inverell Shire;12283.41
Balranald Shire;Junee Shire;12283.41
Balranald Shire;Kempsey Shire;887.06
Balranald Shire;Kiama, Municipality of;15949.15
Balranald Shire;Ku-ring-gai Council;15690.55
Balranald Shire;Kyogle Council;15690.55
Balranald Shire;Lachlan Shire;12283.41
Balranald Shire;Lake Macquarie, City of;15949.15
Balranald Shire;Lane Cove, Municipality of;15949.15
Balranald Shire;Leeton Shire;12283.41
Balranald Shire;Lismore, City of;15949.15
Balranald Shire;Lithgow, City of;15949.15
Balranald Shire;Liverpool, City of;15949.15
Balranald Shire;Liverpool Plains Shire;12283.41
Balranald Shire;Lockhart Shire;12283.41
Balranald Shire;Lord Howe Island;1461.28
Balranald Shire;Maitland, City of;15949.15
Balranald Shire;Mid-Coast Council;15690.55
Balranald Shire;Mid-Western Regional;578.18
Balranald Shire;Moree Plains Shire;764.24
Balranald Shire;Mosman Council;697.54
Balranald Shire;Murray River Council;15690.55
Balranald Shire;Murrumbidgee Council;195.87
Balranald Shire;Muswellbrook Shire;12283.41
Balranald Shire;Nambucca Shire;924.09
Balranald Shire;Narrandera Shire;12283.41
Balranald Shire;Narrabri Shire;12283.41
Balranald Shire;Narromine Shire;12283.41
Balranald Shire;Newcastle, City of;758.0
Balranald Shire;Northern Beaches Council;15690.55
Balranald Shire;North Sydney Council;15690.55
Balranald Shire;Oberon Shire;12283.41
Balranald Shire;Orange, City of;16601.05
Balranald Shire;Parkes Shire;12283.41
Balranald Shire;Parramatta Council, City of;675.81
Balranald Shire;Penrith, City of;15949.15
Balranald Shire;Port Macquarie-Hastings Council;873.73
Balranald Shire;Port Stephens Council;15690.55
Balranald Shire;Queanbeyan-Palerang Regional Council;2641.74
Balranald Shire;Randwick, City of;697.32
Balranald Shire;Richmond Valley Council;15690.55
Balranald Shire;Ryde, City of;685.68
Balranald Shire;Singleton Council;15690.55
Balranald Shire;Shellharbour, City of;665.12
Balranald Shire;Shoalhaven, City of;15949.15
Balranald Shire;Snowy Monaro Regional Council;554.24
Balranald Shire;Snowy Valleys Council;15690.55
Balranald Shire;Strathfield, Municipality of;682.78
Balranald Shire;Sutherland Shire;674.79
Balranald Shire;Sydney, City of;15949.15
Balranald Shire;Tamworth Regional Council;15690.55
Balranald Shire;Temora Shire;12283.41
Balranald Shire;Tenterfield Shire;12283.41
Balranald Shire;Tweed Shire;1100.05
Balranald Shire;Unincorporated Far West;15964.18
Balranald Shire;Upper Hunter Shire;724.61
Balranald Shire;Upper Lachlan Shire;529.79
Balranald Shire;Uralla Shire;12283.41
Balranald Shire;Wagga Wagga, City of;365.47
Balranald Shire;Walcha Shire;12283.41
Balranald Shire;Walgett Shire;12283.41
Balranald Shire;Warren Shire;12283.41
Balranald Shire;Warrumbungle Shire;601.6
Balranald Shire;Waverley Council;15690.55
Balranald Shire;Weddin Shire;12283.41
Balranald Shire;Wentworth Shire;12283.41
Balranald Shire;Willoughby, City of;693.72
Balranald Shire;Wingecarribee Shire;12283.41
Balranald Shire;Wollondilly Shire;12283.41
Balranald Shire;Wollongong, City of;666.47
Balranald Shire;Woollahra, Municipality of;15949.15
Balranald Shire;Yass Valley Council;489.99
Bathurst Region;Bayside Council;16120.83
Bathurst Region;Bega Valley Shire;376.49
Bathurst Region;Bellingen Shire;12824.16
Bathurst Region;Berrigan Shire;440.84
Bathurst Region;Blacktown City Council;15145.03
Bathurst Region;Bland Shire;12824.16
Bathurst Region;Blayney Shire;12824.16
Bathurst Region;Blue Mountains, City of;90.56
Bathurst Region;Bogan Shire;12824.16
Bathurst Region;Bourke Shire;12824.16
Bathurst Region;Brewarrina Shire;452.74
Bathurst Region;Broken Hill, City of;16319.96
Bathurst Region;Burwood Council;157.94
Bathurst Region;Byron Shire;12824.16
Bathurst Region;Cabonne Shire;75.24
Bathurst Region;Camden Council;15145.03
Bathurst Region;Campbelltown, City of;1018.08
Bathurst Region;Canada Bay, City of;158.21
Bathurst Region;Canterbury-Bankstown, City of;16319.96
Bathurst Region;Carrathool Shire;12824.16
Bathurst Region;Central Coast Council;15145.03
Bathurst Region;Central Darling Shire;593.72
Bathurst Region;Cessnock, City of;175.23
Bathurst Region;Clarence Valley Council;500.38
Bathurst Region;Cobar Shire;12824.16
Bathurst Region;Coffs Harbour, City of;16319.96
Bathurst Region;Coolamon Shire;272.9
Bathurst Region;Coonamble Shire;12824.16
Bathurst Region;Cootamundra-Gundagai Regional Council;205.45
Bathurst Region;Cowra Shire;12824.16
Bathurst Region;Cumberland City Council;14860.84
Bathurst Region;Dubbo Regional Council;145.6
Bathurst Region;Dungog Shire;12824.16
Bathurst Region;Edward River Council;15145.03
Bathurst Region;Eurobodalla Shire;299.19
Bathurst Region;Fairfield, City of;16319.96
Bathurst Region;Federation Council;15145.03
Bathurst Region;Forbes Shire;12824.16
Bathurst Region;Georges River Council;15145.03
Bathurst Region;Gilgandra Shire;201.44
Bathurst Region;Glen Innes Severn Council;455.9
Bathurst Region;Goulburn Mulwaree Council;179.92
Bathurst Region;Greater Hume Shire;348.61
Bathurst Region;Griffith, City of;16319.96
Bathurst Region;Gunnedah Shire;12824.16
Bathurst Region;Gwydir Shire;12824.16
Bathurst Region;Hawkesbury, City of;16319.96
Bathurst Region;Hay Shire;12824.16
Bathurst Region;Hills Shire, The;144.52
Bathurst Region;Hilltops Council;15145.03
Bathurst Region;Hornsby Shire;12824.16
Bathurst Region;Hunter's Hill, Municipality of;15199.66
Bathurst Region;Inner West Council;15145.03
Bathurst Region;Inverell Shire;12824.16
Bathurst Region;Junee Shire;12824.16
Bathurst Region;Kempsey Shire;381.03
Bathurst Region;Kiama, Municipality of;16319.96
Bathurst Region;Ku-ring-gai Council;15145.03
Bathurst Region;Kyogle Council;15145.03
Bathurst Region;Lachlan Shire;12824.16
Bathurst Region;Lake Macquarie, City of;16319.96
Bathurst Region;Lane Cove, Municipality of;16319.96
Bathurst Region;Leeton Shire;12824.16
Bathurst Region;Lismore, City of;16319.96
Bathurst Region;Lithgow, City of;16319.96
Bathurst Region;Liverpool, City of;16319.96
Bathurst Region;Liverpool Plains Shire;12824.16
Bathurst Region;Lockhart Shire;12824.16
Bathurst Region;Lord Howe Island;914.85
Bathurst Region;Maitland, City of;16319.96
Bathurst Region;Mid-Coast Council;15145.03
Bathurst Region;Mid-Western Regional;77.97
Bathurst Region;Moree Plains Shire;455.91
Bathurst Region;Mosman Council;167.52
Bathurst Region;Murray River Council;15145.03
Bathurst Region;Murrumbidgee Council;397.56
Bathurst Region;Muswellbrook Shire;12824.16
Bathurst Region;Nambucca Shire;420.39
Bathurst Region;Narrandera Shire;12824.16
Bathurst Region;Narrabri Shire;12824.16
Bathurst Region;Narromine Shire;12824.16
