miejsce_1;miejsce_2;długość połączenia;przepustowość
Hornsby Shire;North Sydney Council;18.51;110380.5
Hornsby Shire;Parramatta Council, City of;14.95;204270.0
Hornsby Shire;Ryde, City of;12.53;140467.0
Hornsby Shire;Willoughby, City of;15.38;113712.0
Hunter's Hill, Municipality of;Inner West Council;6.8;98188.5
Hunter's Hill, Municipality of;Lane Cove, Municipality of;2.92;26498.5
Hunter's Hill, Municipality of;Mosman Council;8.98;20944.0
Hunter's Hill, Municipality of;North Sydney Council;5.85;41254.5
Hunter's Hill, Municipality of;Ryde, City of;3.84;71341.0
Hunter's Hill, Municipality of;Strathfield, Municipality of;7.69;29576.0
Hunter's Hill, Municipality of;Sydney, City of;7.12;112595.5
Hunter's Hill, Municipality of;Willoughby, City of;5.9;44586.0
Inner West Council;Lane Cove, Municipality of;8.87;111128.0
Inner West Council;North Sydney Council;8.2;125884.0
Inner West Council;Randwick, City of;8.43;158535.0
Inner West Council;Strathfield, Municipality of;6.57;114205.5
Inner West Council;Sydney, City of;5.97;197225.0
Inner West Council;Woollahra, Municipality of;8.24;118157.0
Junee Shire;Wagga Wagga, City of;33.67;37012.0
Kiama, Municipality of;Shellharbour, City of;10.52;49672.5
Kiama, Municipality of;Wollongong, City of;27.37;118819.0
Ku-ring-gai Council;Lane Cove, Municipality of;9.44;81757.0
Ku-ring-gai Council;Mosman Council;13.97;76202.5
Ku-ring-gai Council;Northern Beaches Council;13.96;193815.0
Ku-ring-gai Council;North Sydney Council;12.91;96513.0
Ku-ring-gai Council;Parramatta Council, City of;15.75;190402.5
Ku-ring-gai Council;Ryde, City of;9.31;126599.5
Ku-ring-gai Council;Sydney, City of;16.22;167854.0
Ku-ring-gai Council;Willoughby, City of;9.6;99844.5
Kyogle Council;Lismore, City of;33.96;26846.5
Lake Macquarie, City of;Newcastle, City of;24.22;191359.0
Lane Cove, Municipality of;Mosman Council;7.04;33883.5
Lane Cove, Municipality of;North Sydney Council;4.4;54194.0
Lane Cove, Municipality of;Ryde, City of;5.09;84280.5
Lane Cove, Municipality of;Sydney, City of;7.04;125535.0
Lane Cove, Municipality of;Willoughby, City of;3.13;57525.5
Leeton Shire;Narrandera Shire;29.87;8575.0
Liverpool, City of;Parramatta Council, City of;14.81;245087.5
Liverpool, City of;Ryde, City of;22.15;181284.5
Liverpool, City of;Strathfield, Municipality of;16.42;139519.5
Liverpool, City of;Sutherland Shire;19.21;231828.5
Maitland, City of;Newcastle, City of;30.13;129549.5
Maitland, City of;Port Stephens Council;27.73;82751.0
Mosman Council;North Sydney Council;3.23;48639.5
Mosman Council;Randwick, City of;9.07;81290.5
Mosman Council;Ryde, City of;12.1;78726.0
Mosman Council;Sydney, City of;5.25;119980.5
Mosman Council;Waverley Council;7.93;48467.0
Mosman Council;Willoughby, City of;4.68;51971.0
Mosman Council;Woollahra, Municipality of;6.2;40912.5
Newcastle, City of;Port Stephens Council;21.8;122074.5
Northern Beaches Council;North Sydney Council;17.41;166252.0
Northern Beaches Council;Randwick, City of;24.38;198903.0
Northern Beaches Council;Ryde, City of;20.87;196338.5
Northern Beaches Council;Strathfield, Municipality of;28.06;154573.5
Northern Beaches Council;Sydney, City of;20.61;237593.0
Northern Beaches Council;Waverley Council;22.94;166079.5
Northern Beaches Council;Willoughby, City of;14.9;169583.5
Northern Beaches Council;Woollahra, Municipality of;21.57;158525.0
North Sydney Council;Randwick, City of;8.88;101601.0
North Sydney Council;Sydney, City of;3.55;140291.0
North Sydney Council;Waverley Council;8.32;68777.5
North Sydney Council;Willoughby, City of;3.43;72281.5
North Sydney Council;Woollahra, Municipality of;6.25;61223.0
Parramatta Council, City of;Ryde, City of;9.88;192925.99999999997
Parramatta Council, City of;Strathfield, Municipality of;10.39;151161.0
Randwick, City of;Strathfield, Municipality of;15.0;89922.5
Randwick, City of;Sydney, City of;5.62;172942.0
Randwick, City of;Waverley Council;1.79;101428.5
Randwick, City of;Willoughby, City of;12.29;104932.5
Randwick, City of;Woollahra, Municipality of;2.88;93874.0
Ryde, City of;Strathfield, Municipality of;8.14;87358.0
Ryde, City of;Sydney, City of;10.95;170377.5
Ryde, City of;Willoughby, City of;8.05;102368.0
Shellharbour, City of;Wollongong, City of;16.85;145417.5
Snowy Monaro Regional Council;Snowy Valleys Council;19.29;18278.5
Sutherland Shire;Sydney, City of;30.45;220921.5
Sutherland Shire;Waverley Council;30.98;149408.0
Sutherland Shire;Woollahra, Municipality of;31.08;141853.5
Sydney, City of;Waverley Council;5.53;140118.5
Sydney, City of;Willoughby, City of;6.95;143622.5
Sydney, City of;Woollahra, Municipality of;3.5;132564.0
Waverley Council;Willoughby, City of;11.62;72109.0
Waverley Council;Woollahra, Municipality of;2.1;61050.5
Willoughby, City of;Woollahra, Municipality of;9.59;64554.5
Albury, City of;Greater Hume Shire;43.93;33625.0
Albury, City of;Federation Council;72.6;34496.0
Armidale Regional Council;Walcha Shire;53.12;16070.0
Armidale Regional Council;Tamworth Regional Council;83.6;46097.0
Ballina Shire;Richmond Valley Council;56.13;34930.5
Ballina Shire;Kyogle Council;56.92;27827.5
Balranald Shire;Hay Shire;130.64;2545.0
Balranald Shire;Wentworth Shire;166.43;4830.5
Bathurst Region;Blayney Shire;38.85;25532.0
Bathurst Region;Orange, City of;43.68;43539.5
Bega Valley Shire;Snowy Monaro Regional Council;79.42;28804.0
Bega Valley Shire;Eurobodalla Shire;80.82;38267.5
Bellingen Shire;Kempsey Shire;66.9;21970.5
Bellingen Shire;Clarence Valley Council;82.67;33684.0
Berrigan Shire;Federation Council;48.76;10782.0
Berrigan Shire;Lockhart Shire;103.2;5992.0
Bland Shire;Weddin Shire;36.12;4577.5
Bland Shire;Temora Shire;53.1;5790.5
Blayney Shire;Oberon Shire;59.76;6538.5
Blayney Shire;Cabonne Shire;62.18;10631.5
Blue Mountains, City of;Wollondilly Shire;42.81;66041.0
Bogan Shire;Warren Shire;87.81;2508.5
Bogan Shire;Cobar Shire;103.04;3263.0
Bourke Shire;Brewarrina Shire;102.58;1848.0
Bourke Shire;Cobar Shire;156.76;3199.5
Brewarrina Shire;Walgett Shire;111.62;3304.5
Brewarrina Shire;Coonamble Shire;182.01;2544.0
Broken Hill, City of;Unincorporated Far West;156.11;9302.0
Broken Hill, City of;Central Darling Shire;192.13;9656.5
Byron Shire;Tweed Shire;45.4;66754.0
Byron Shire;Kyogle Council;46.91;22737.5
Cabonne Shire;Parkes Shire;54.24;14063.5
Cabonne Shire;Forbes Shire;74.75;11542.5
Camden Council;Cumberland City Council;36.53;177382.0
Camden Council;Georges River Council;37.4;135799.5
Carrathool Shire;Hay Shire;55.05;2874.0
Carrathool Shire;Griffith, City of;57.6;14976.0
Central Coast Council;Hornsby Shire;38.23;249203.5
Central Coast Council;Ku-ring-gai Council;38.59;235336.0
Central Darling Shire;Unincorporated Far West;192.18;1370.5
Central Darling Shire;Cobar Shire;224.27;2892.0
Cessnock, City of;Newcastle, City of;41.66;116252.5
Cessnock, City of;Port Stephens Council;47.59;69454.0
Clarence Valley Council;Coffs Harbour, City of;73.49;66437.0
Clarence Valley Council;Richmond Valley Council;76.45;38840.0
Cobar Shire;Lachlan Shire;183.69;5076.5
Cobar Shire;Warren Shire;190.74;3304.5
Coffs Harbour, City of;Nambucca Shire;53.91;49583.0
Coffs Harbour, City of;Kempsey Shire;92.81;54723.5
Coolamon Shire;Narrandera Shire;39.34;5041.5
Coolamon Shire;Temora Shire;46.49;5209.5
